pGems,w,igbias,pg80,pg60,pg40,pg20
0.433888888888889,0.854393561013331,5,0.119444444444444,0.233333333333333,0.344444444444444,0.302777777777778
0.51,0.724857674551506,5,0.244444444444444,0.305555555555556,0.205555555555556,0.244444444444444
0.427222222222222,0.837322139597993,0,0.183333333333333,0.144444444444444,0.297222222222222,0.375
0.693888888888889,0.0354236293498799,0,0.594444444444444,0.319444444444444,0.0472222222222222,0.0388888888888889
0.491666666666667,0.616414977664889,6,0.261111111111111,0.255555555555556,0.163888888888889,0.319444444444444
0.505,0.617244610676865,4.66666666666667,0.305555555555556,0.194444444444444,0.219444444444444,0.280555555555556
0.483888888888889,0.668521274155983,5.66666666666667,0.255555555555556,0.211111111111111,0.230555555555556,0.302777777777778
0.473333333333333,0.809345327017563,4.83333333333333,0.119444444444444,0.280555555555556,0.447222222222222,0.152777777777778
0.537222222222222,0.751243738555944,3.83333333333333,0.280555555555556,0.186111111111111,0.472222222222222,0.0611111111111111
0.418888888888889,0.405976772658871,3.33333333333333,0.0638888888888889,0.313888888888889,0.275,0.347222222222222
0.706666666666667,0.0012178148603044,2.83333333333333,0.716666666666667,0.169444444444444,0.0444444444444444,0.0694444444444444
0.515555555555556,0.89430231740749,-3.16666666666667,0.244444444444444,0.305555555555556,0.233333333333333,0.216666666666667
0.528888888888889,0.780825191878355,4.16666666666667,0.361111111111111,0.186111111111111,0.188888888888889,0.263888888888889
0.520555555555556,0.871107384662687,2.5,0.294444444444444,0.219444444444444,0.280555555555556,0.205555555555556
0.477222222222222,0.985456241646623,1,0.2,0.261111111111111,0.263888888888889,0.275
0.561666666666667,0.802046656582038,5.16666666666667,0.405555555555556,0.191666666666667,0.208333333333333,0.194444444444444
0.615555555555556,0.563710786022684,2.66666666666667,0.519444444444444,0.158333333333333,0.202777777777778,0.119444444444444
0.567777777777778,0.00141914633322588,4.16666666666667,0.386111111111111,0.244444444444444,0.191666666666667,0.177777777777778
0.5,0.564315307175442,0,0.211111111111111,0.258333333333333,0.35,0.180555555555556
0.507777777777778,0.811302260163857,0.666666666666667,0.291666666666667,0.15,0.363888888888889,0.194444444444444
0.511111111111111,0.854585677123187,-0.5,0.283333333333333,0.233333333333333,0.238888888888889,0.244444444444444
0.458888888888889,0.746430491743517,2,0.15,0.3,0.244444444444444,0.305555555555556
0.545555555555555,0.768807359928571,-2,0.319444444444444,0.272222222222222,0.225,0.183333333333333
0.615555555555556,0.608129842914911,5.5,0.422222222222222,0.294444444444444,0.222222222222222,0.0611111111111111
0.465,0.588875152438866,6,0.161111111111111,0.305555555555556,0.230555555555556,0.302777777777778
0.417222222222222,0.671856463878852,-2,0.113888888888889,0.211111111111111,0.322222222222222,0.352777777777778
0.541111111111111,0.826229892293757,4.33333333333333,0.25,0.397222222222222,0.161111111111111,0.191666666666667
0.502777777777778,0.727322639425501,3.66666666666667,0.247222222222222,0.263888888888889,0.244444444444444,0.244444444444444
0.579444444444444,0.556969108418597,2.83333333333333,0.175,0.588888888888889,0.194444444444444,0.0416666666666667
0.473333333333333,0.765300880749198,2,0.222222222222222,0.227777777777778,0.244444444444444,0.305555555555556
0.525,0.850180601775334,1.33333333333333,0.297222222222222,0.261111111111111,0.211111111111111,0.230555555555556
0.49,0.576709676539739,-1.5,0.294444444444444,0.119444444444444,0.327777777777778,0.258333333333333
0.608888888888889,0.0829012893203762,1.5,0.4,0.363888888888889,0.116666666666667,0.119444444444444
0.516666666666667,0.920950114426449,0,0.352777777777778,0.163888888888889,0.197222222222222,0.286111111111111
0.557777777777778,0.198567590436608,4.16666666666667,0.344444444444444,0.213888888888889,0.327777777777778,0.113888888888889
0.510555555555556,0.709285271568548,1.33333333333333,0.261111111111111,0.272222222222222,0.225,0.241666666666667
0.541666666666667,0.774627388881017,1,0.305555555555556,0.269444444444444,0.252777777777778,0.172222222222222
0.526666666666667,0.530277214227785,1,0.236111111111111,0.313888888888889,0.297222222222222,0.152777777777778
