"","subjID","identification_post_ingroup","identification_post_outgroup","identification_pre_ingroup","identification_pre_outgroup","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","button_pressed","party","age","gender","ethnicity"
"96",47981150,3.66666666666667,1.33333333333333,3,1.33333333333333,0.2,0.4,0.8,0.6,1,"Democrat",28,"male","white"
"97",51661565,3.66666666666667,0.666666666666667,3.66666666666667,0.666666666666667,0.6,0.8,0.4,0.2,0,"Republican",27,"male","white"
"98",52250379,5,0.666666666666667,5,1,0.4,0.8,0.6,0.2,1,"Democrat",54,"female","White Caucasian"
"99",52636046,6,0,6,0,0.4,0.8,0.6,0.2,0,"Republican",49,"male","white"
"100",53876302,5.66666666666667,0,5.66666666666667,0,0.2,0.6,0.8,0.4,1,"Democrat",26,"female","white"
"101",53930946,1.66666666666667,0,2.33333333333333,0,0.8,0.2,0.6,0.4,1,"Democrat",32,"other","White/Native American"
"102",53963490,2.33333333333333,1.33333333333333,2.33333333333333,2,0.4,0.2,0.8,0.6,1,"Democrat",36,"male","Caucasian"
"103",55016866,6,4,5.33333333333333,4,0.6,0.2,0.8,0.4,1,"Democrat",33,"female","White"
"104",55838327,3,0,3,0,0.4,0.2,0.6,0.8,0,"Republican",25,"male","Latino"
"105",55942396,3,2,3,2,0.4,0.2,0.6,0.8,1,"Democrat",22,"female","american"
"106",56268858,3.66666666666667,2.33333333333333,3.66666666666667,2.66666666666667,0.4,0.8,0.2,0.6,0,"Republican",30,"male","white"
"107",56530000,5,0,5,0,0.6,0.8,0.4,0.2,0,"Republican",43,"male","White"
"108",56962933,4,2.66666666666667,4.33333333333333,2.33333333333333,0.8,0.6,0.4,0.2,1,"Democrat",33,"female","asian"
"109",56974914,3,2,4,2.66666666666667,0.2,0.6,0.8,0.4,0,"Republican",23,"female","Asian"
"110",57102519,5,1.33333333333333,5,1,0.6,0.4,0.8,0.2,1,"Democrat",44,"female","Caucasian"
"111",57853241,3,0,3,0,0.8,0.2,0.4,0.6,1,"Democrat",25,"female","Mexican-american"
"112",59656463,3,0,3,0.333333333333333,0.4,0.2,0.8,0.6,1,"Democrat",44,"female","white"
"113",59838605,6,0,6,1,0.4,0.2,0.6,0.8,1,"Democrat",51,"male","White"
"114",60647350,6,3,3,3,0.2,0.8,0.6,0.4,1,"Democrat",40,"male","caucasian"
"115",61051771,5.66666666666667,0,5.66666666666667,0,0.2,0.6,0.4,0.8,1,"Democrat",32,"female","white"
"116",61808425,3,0,3,0,0.2,0.8,0.6,0.4,1,"Democrat",47,"male","white"
"117",62690468,5,3,5,3,0.8,0.4,0.2,0.6,0,"Republican",39,"female","white"
"118",62860946,3,0.666666666666667,3,1,0.2,0.4,0.6,0.8,1,"Democrat",43,"male","African American"
"119",63053126,4.33333333333333,1,4.66666666666667,1.33333333333333,0.4,0.8,0.2,0.6,1,"Democrat",46,"female","AFRICAN AMERICAN"
"120",64562319,4,4,4,4,0.6,0.8,0.2,0.4,0,"Republican",24,"male","White"
"121",64644388,5,1,5,1,0.6,0.2,0.8,0.4,1,"Democrat",30,"male","White"
"122",64887041,2.66666666666667,2,3,2,0.6,0.8,0.4,0.2,0,"Republican",33,"female","white"
"123",64956799,4,2.66666666666667,4,2.66666666666667,0.6,0.2,0.8,0.4,0,"Republican",34,"female","white"
"124",65238417,6,0,5,0,0.2,0.8,0.4,0.6,1,"Democrat",33,"male","African American"
"125",65390465,4.66666666666667,2,4.66666666666667,2,0.6,0.4,0.2,0.8,0,"Republican",20,"male","white"
"126",65493372,3.33333333333333,3.33333333333333,3,3.66666666666667,0.8,0.4,0.6,0.2,1,"Democrat",54,"female","american white non hispanic"
"127",65949915,4.33333333333333,0.666666666666667,4.66666666666667,0.666666666666667,0.8,0.4,0.2,0.6,1,"Democrat",42,"female","Hispanic"
"128",65962959,4.33333333333333,0,4.33333333333333,0,0.8,0.2,0.4,0.6,0,"Republican",55,"female","white, non-Hispanic"
"129",66778760,5,0.666666666666667,5,0.666666666666667,0.2,0.8,0.4,0.6,1,"Democrat",48,"female","white"
"130",67328256,5.33333333333333,0,5,0,0.8,0.2,0.6,0.4,1,"Democrat",41,"male","White / American"
"131",67824082,4,2,4,2,0.8,0.4,0.2,0.6,0,"Republican",20,"male","Caucasian"
"132",68571403,4.66666666666667,1,4.33333333333333,0.666666666666667,0.8,0.2,0.4,0.6,1,"Democrat",33,"female","white"
"133",69306871,4,2.66666666666667,3.33333333333333,1,0.2,0.4,0.6,0.8,1,"Democrat",59,"female","african-american"
"134",69669820,5,0,5,0,0.8,0.4,0.2,0.6,0,"Republican",41,"female","cau"
"135",70978853,5,0,5,0,0.2,0.8,0.6,0.4,1,"Democrat",31,"female","White"
"136",71005567,5,1.66666666666667,5.33333333333333,1.66666666666667,0.2,0.6,0.8,0.4,1,"Democrat",44,"female","white"
"137",72604370,3,2,3,2,0.8,0.6,0.4,0.2,1,"Democrat",25,"male","black"
"138",72692987,5,0,4.66666666666667,0,0.6,0.4,0.8,0.2,1,"Democrat",62,"female","White"
"139",72755849,4,0.333333333333333,4,0.333333333333333,0.4,0.2,0.6,0.8,1,"Democrat",37,"female","white"
"140",73063733,1.66666666666667,0.333333333333333,1.33333333333333,0.333333333333333,0.2,0.6,0.4,0.8,1,"Democrat",21,"male","White"
"141",73137510,5.33333333333333,0,5.33333333333333,0,0.6,0.2,0.8,0.4,1,"Democrat",27,"female","white"
"142",73514396,4.66666666666667,0.333333333333333,3.33333333333333,1,0.8,0.6,0.4,0.2,1,"Democrat",27,"male","Asian"
"143",73623298,2,0.666666666666667,2,1,0.8,0.6,0.2,0.4,1,"Democrat",30,"female","White"
"144",74919275,4,3,4,3,0.2,0.6,0.8,0.4,1,"Democrat",43,"female","white"
"145",75137013,6,0,6,0.333333333333333,0.2,0.8,0.4,0.6,0,"Republican",36,"female","White"
"146",75396065,3,2,3,1,0.8,0.2,0.6,0.4,1,"Democrat",30,"female","asian"
"147",75480268,2.33333333333333,0,2.33333333333333,0,0.4,0.8,0.2,0.6,1,"Democrat",40,"female","WHITE"
"148",75949891,3.33333333333333,0.666666666666667,3.33333333333333,0.666666666666667,0.4,0.2,0.6,0.8,0,"Republican",34,"female","white"
"149",76623023,6,3,6,3,0.4,0.2,0.6,0.8,1,"Democrat",57,"female","Hispanic"
"150",77387453,4,0.666666666666667,4,0.333333333333333,0.2,0.6,0.8,0.4,1,"Democrat",62,"female","caucasian"
"151",77660538,4,1,4,1,0.8,0.4,0.6,0.2,1,"Democrat",21,"female","Asian"
"152",77766881,4,1.33333333333333,4,1.33333333333333,0.2,0.4,0.6,0.8,0,"Republican",30,"female","Caucasian"
"153",78394741,6,0,6,0,0.8,0.6,0.4,0.2,1,"Democrat",43,"female","Caucasian"
"154",78557942,5,0,5,0,0.6,0.4,0.2,0.8,0,"Republican",57,"female","White"
"155",80518554,5,3,5,3,0.8,0.2,0.6,0.4,1,"Democrat",38,"male","Asian"
"156",81259131,3,0,3,0,0.8,0.2,0.4,0.6,1,"Democrat",27,"male","Asian"
"157",81819307,2.33333333333333,1,2.33333333333333,1,0.6,0.2,0.4,0.8,0,"Republican",38,"female","white"
