"","subjID","identification_post_ingroup","identification_post_outgroup","identification_pre_ingroup","identification_pre_outgroup","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","button_pressed","party","age","gender","ethnicity"
"1",237677,6,0,6,0,0.8,0.6,0.4,0.2,1,"Democrat",25,"male","White"
"2",996911,5,0,5.33333333333333,0,0.2,0.4,0.8,0.6,1,"Democrat",39,"female","white"
"3",1505031,4.66666666666667,0,4.66666666666667,0,0.6,0.2,0.4,0.8,1,"Democrat",30,"male","white"
"4",2330329,4,2,4.66666666666667,2,0.8,0.6,0.2,0.4,1,"Democrat",51,"female","white"
"5",2706489,2.66666666666667,0,2.66666666666667,0,0.6,0.4,0.2,0.8,0,"Republican",35,"male","white"
"6",2987400,3,2,3,2,0.6,0.2,0.8,0.4,0,"Republican",46,"female","white"
"7",3143071,4.66666666666667,1.33333333333333,4.66666666666667,1.33333333333333,0.6,0.4,0.2,0.8,1,"Democrat",37,"male","White"
"8",3414780,3.33333333333333,0,3,0.333333333333333,0.2,0.4,0.6,0.8,1,"Democrat",27,"male","White"
"9",4267463,4,2.66666666666667,4,2.66666666666667,0.6,0.2,0.8,0.4,0,"Republican",29,"male","white"
"10",5591809,6,0,6,0,0.4,0.6,0.2,0.8,0,"Republican",65,"male","white"
"11",5758273,3.66666666666667,1.33333333333333,3.33333333333333,0.666666666666667,0.4,0.2,0.6,0.8,1,"Democrat",25,"female","White"
"12",6063542,3,3,3,3,0.8,0.6,0.2,0.4,0,"Republican",27,"male","Caucasian"
"13",6932423,4,2.66666666666667,4,2.66666666666667,0.4,0.2,0.8,0.6,0,"Republican",37,"female","white"
"14",7220096,6,0,6,0,0.2,0.8,0.4,0.6,1,"Democrat",33,"female","Black"
"15",7278561,2.33333333333333,0,3,0,0.6,0.2,0.8,0.4,1,"Democrat",28,"male","ehite"
"16",7950505,3.33333333333333,0.666666666666667,3.33333333333333,0.666666666666667,0.4,0.2,0.6,0.8,1,"Democrat",25,"male","Asian"
"17",8055384,4,0.666666666666667,4,0.666666666666667,0.2,0.4,0.6,0.8,0,"Republican",39,"male","Caucasian"
"18",8276320,5.33333333333333,0,4.66666666666667,0,0.4,0.8,0.2,0.6,1,"Democrat",31,"female","White"
"19",8277773,6,2.33333333333333,6,1.66666666666667,0.2,0.6,0.8,0.4,1,"Democrat",29,"female","white"
"20",8365907,4.66666666666667,1.33333333333333,5.33333333333333,1.33333333333333,0.2,0.8,0.4,0.6,0,"Republican",25,"female","caucasian"
"21",8763672,3.66666666666667,3,3.66666666666667,3,0.8,0.2,0.6,0.4,0,"Republican",21,"male","Caucasian"
"22",9623065,6,0,6,0,0.4,0.6,0.2,0.8,1,"Democrat",29,"male","White"
"23",9921682,3,0.333333333333333,3,0.333333333333333,0.4,0.6,0.8,0.2,1,"Democrat",30,"male","Caucasian"
"24",10290059,5.66666666666667,0,5,0,0.2,0.6,0.8,0.4,1,"Democrat",22,"female","African American"
"25",10658307,3,0,3,0,0.6,0.2,0.4,0.8,1,"Democrat",25,"male","Hispanic / Latino"
"26",10925448,2.66666666666667,0.666666666666667,3.33333333333333,0.666666666666667,0.8,0.6,0.2,0.4,1,"Democrat",26,"male","Caucasian"
"27",11075109,2.33333333333333,1.33333333333333,2.66666666666667,1,0.8,0.4,0.6,0.2,1,"Democrat",22,"male","white"
"28",11432596,4.66666666666667,0,4.66666666666667,0,0.4,0.8,0.2,0.6,1,"Democrat",39,"female","white"
"29",14105934,6,2,6,3,0.4,0.6,0.8,0.2,1,"Democrat",22,"male","African American"
