01076235,5,6,5
01083697,4,4,4
01495040,5,5,5
02369649,3,4,4
02453898,6,6,6
03041997,6,6,6
03084124,3,3,3
03359801,6,6,6
03511473,5,5,5
03637799,1,2,3
03913942,6,6,6
05353067,5,5,6
05861698,6,6,6
06617041,1,2,3
08379612,4,4,4
10951372,3,3,3
11824420,2,2,2
13038806,0,0,0
13614112,4,4,3
13712542,1,1,0
14973083,6,6,6
15300997,3,4,2
15946703,3,3,1
16528879,3,3,3
18137706,4,4,4
18546220,6,6,6
20087652,3,3,3
20365287,4,3,2
20434124,6,6,6
20730402,3,2,3
21996050,3,3,2
22222852,3,3,3
22513847,3,2,0
24477510,3,3,3
24903049,4,5,5
25245397,5,5,5
25315887,3,3,3
25577148,0,0,0
27358332,5,5,5
28457033,6,6,6
28783217,4,4,3
28805773,6,6,6
29364753,2,3,2
30244577,6,6,6
30261372,4,4,3
32131718,4,5,4
32616535,3,3,3
33087855,3,3,3
33326280,2,2,1
35200055,3,3,5
35394573,4,5,5
36350369,3,3,3
36961399,4,4,3
37054015,3,3,3
38664945,3,3,3
39440617,0,0,0
39982698,6,6,6
41097897,6,6,6
41819165,6,6,6
43242454,3,3,4
43770402,3,3,3
43928857,6,6,6
45575473,4,5,4
46982625,6,6,6
47924691,5,6,6
48249378,5,6,3
48346240,5,5,5
48520972,4,5,4
49813984,3,4,4
50093480,4,2,3
52159072,1,1,1
52457594,4,5,4
52855302,4,4,3
52961778,6,6,6
53782710,2,3,3
54071817,4,4,3
54557956,2,2,0
54879241,3,3,3
55245262,6,6,6
55865667,2,2,2
56263155,2,2,2
56719802,5,5,5
56994987,4,4,4
57379836,0,0,2
57719913,6,6,6
58079567,2,3,2
58905857,3,3,3
59157947,0,0,0
59619479,4,5,4
59817727,3,4,4
60757070,4,5,4
60829836,3,3,3
62566938,3,3,3
65440654,3,4,6
65565831,3,3,3
65623136,3,3,3
66093427,1,1,0
66644869,6,6,6
66840724,3,3,3
67079722,3,3,3
67488212,6,6,6
67524626,6,6,6
67564324,4,3,3
68043195,6,6,6
68171804,6,6,6
69907245,6,6,6
70862758,5,5,5
72833635,1,1,1
72985227,3,3,3
73916517,1,2,1
73987360,6,6,6
74600755,4,4,5
74874433,0,0,0
74938959,1,2,1
77060738,1,3,3
77322251,3,4,4
77456133,6,6,6
77681590,4,5,4
77874300,4,4,4
78681007,0,0,0
79284577,3,3,3
79868918,5,4,5
80777967,3,3,4
80853411,5,6,6
81226427,3,3,3
81917371,5,5,5
82299331,2,4,4
82946011,4,5,4
83786513,6,6,6
83859156,1,3,1
83971466,6,6,6
84423492,3,3,2
84601922,5,5,5
84650815,6,5,5
84853379,6,6,6
85371507,2,2,1
86041354,3,4,4
86264943,4,5,4
86840870,5,5,4
87871909,2,1,4
90459454,3,4,5
90660643,6,6,6
90692521,4,4,4
92143096,3,3,3
92649696,3,3,3
93142173,2,2,2
93406304,5,5,5
94039299,3,3,3
94289434,2,1,1
94747946,4,5,4
94814931,3,2,2
95498251,6,6,6
97016525,6,6,6
97119922,5,5,5
97503104,3,4,3
97862196,5,5,5
97909972,3,3,3
98494855,6,6,6
99329280,4,4,3
