subID,gems,bomb,igbias,pGems,wGems,chose80,chose60,chose40,chose20,it,lr,sticky
01270406,55,35,0.5,0.557222222222222,0.57434456397751,0.252777777777778,0.430555555555556,0.166666666666667,0.15,17.599180230561,0.506727010975373,2.29217905268772
01312377,54,37,-1.16666666666667,0.620555555555556,0.998053182527059,0.444444444444444,0.313888888888889,0.141666666666667,0.1,7.95724952329735,0.536311436646774,2.9158751482771
03623359,43,58,2.33333333333333,0.483333333333333,0.587929136511988,0.161111111111111,0.333333333333333,0.266666666666667,0.238888888888889,6.84717467617128,0.628898335505815,1.69875731848091
03702532,59,27,-0.333333333333333,0.623333333333333,0.973247538240046,0.558333333333333,0.111111111111111,0.219444444444444,0.111111111111111,15.9183038303691,0.0118081693729859,1.22288459241509
03850154,44,65,0,0.471666666666667,0.466654015733915,0.2,0.213888888888889,0.330555555555556,0.255555555555556,8.56131430932181,0.655021620355182,0.937849530888933
04702056,31,45,1.33333333333333,0.460555555555556,0.694222988248526,0.180555555555556,0.255555555555556,0.25,0.313888888888889,11.5804274537969,0.307783717978736,3.05425779864484
04976717,51,44,2,0.498888888888889,0.345580433259861,0.255555555555556,0.233333333333333,0.261111111111111,0.25,11.4324810667066,0.995150606909177,-1.03522287784595
05055147,52,55,-4.5,0.512777777777778,0.524106336108703,0.288888888888889,0.197222222222222,0.302777777777778,0.211111111111111,5.42103988025889,0.831816771810614,-0.259410264937575
06244427,46,58,6,0.481111111111111,0.562552036313827,0.205555555555556,0.272222222222222,0.244444444444444,0.277777777777778,14.1575609806315,0.682909066850009,0.487337138664088
06502927,67,44,0.5,0.475,0.446200578837669,0.172222222222222,0.277777777777778,0.302777777777778,0.247222222222222,10.1615244715042,0.302172136672354,2.86470422184073
07368596,57,44,6,0.508888888888889,0.668052967725462,0.244444444444444,0.283333333333333,0.244444444444444,0.227777777777778,19.7916918842091,0.727150677175069,0.903004033007211
07690975,51,62,6,0.533333333333333,0.557616438070543,0.255555555555556,0.305555555555556,0.288888888888889,0.15,17.0362412769321,0.550895152935821,-0.0740023092387544
08833678,60,30,0.833333333333333,0.640555555555556,0.997470583472114,0.466666666666667,0.322222222222222,0.158333333333333,0.0527777777777778,6.85419355558086,0.559372575764246,2.57033149125537
09072577,44,50,6,0.447222222222222,0.413769819998726,0.291666666666667,0.0666666666666667,0.227777777777778,0.413888888888889,21.2767353684464,0.485299871114457,1.80266790337442
09175928,56,47,4.5,0.528888888888889,0.552464371676845,0.280555555555556,0.277777777777778,0.247222222222222,0.194444444444444,21.5282168730298,0.721900017447185,0.928922837619009
09192717,47,52,3,0.528888888888889,0.946311929016698,0.277777777777778,0.305555555555556,0.2,0.216666666666667,4.16520678956961,0.0287512685319981,-1.19373224967483
09426093,51,62,4.5,0.466666666666667,0.585220799665613,0.222222222222222,0.202777777777778,0.261111111111111,0.313888888888889,11.9540452192199,0.861863521256377,1.2498630200357
09515401,67,49,-1.66666666666667,0.617222222222222,0.518712000180519,0.413888888888889,0.372222222222222,0.1,0.113888888888889,14.7203659032766,0.474181883739345,2.47507123151848
10187574,37,49,0,0.529444444444444,0.981263559957654,0.25,0.311111111111111,0.275,0.163888888888889,1.60055471197599,0.890996708302163,-0.0982747358201106
10879596,35,47,0.333333333333333,0.413333333333333,0.213491642416982,0.175,0.0972222222222222,0.347222222222222,0.380555555555556,15.7762428007128,0.0135305205933922,-0.679217927893392
12517310,50,48,1.33333333333333,0.517777777777778,0.548207655799237,0.316666666666667,0.172222222222222,0.294444444444444,0.216666666666667,9.69595072802709,0.544613221256944,1.0046017850269
13187427,74,44,0.666666666666667,0.563888888888889,0.451844247287495,0.372222222222222,0.244444444444444,0.213888888888889,0.169444444444444,7.84176734739348,0.47227062197442,2.08707337851254
13517775,47,60,-0.5,0.463333333333333,0.437577324174852,0.147222222222222,0.311111111111111,0.252777777777778,0.288888888888889,8.69981965592022,0.506902066356386,1.29840673074089
14334805,44,58,6,0.498888888888889,0.487074075879087,0.297222222222222,0.2,0.202777777777778,0.3,11.0933334886235,0.5925145245625,-0.500519383979895
15056030,45,54,3,0.448333333333333,0.474934783499951,0.222222222222222,0.152777777777778,0.269444444444444,0.355555555555556,10.6333839114194,0.350335675827218,1.99561478158039
15958249,52,60,3.66666666666667,0.460555555555556,0.425661651514254,0.263888888888889,0.147222222222222,0.216666666666667,0.372222222222222,14.9590700775999,0.527359593919685,2.20298604633237
16028023,48,55,4,0.518888888888889,0.597076353284707,0.319444444444444,0.247222222222222,0.141666666666667,0.291666666666667,15.9812866185735,0.56917391583789,1.64562572657173
16057133,58,35,0.5,0.586666666666667,0.96683200983562,0.408333333333333,0.236111111111111,0.236111111111111,0.119444444444444,11.3497152365145,0.478387437738017,2.29560547685022
16062785,51,49,-0.166666666666667,0.525,0.522555221300857,0.255555555555556,0.286111111111111,0.286111111111111,0.172222222222222,11.9580108312163,0.489602759759176,1.42260905323232
19138826,47,58,1.66666666666667,0.466111111111111,0.15479529063717,0.169444444444444,0.252777777777778,0.316666666666667,0.261111111111111,2.37396125807784,0.0323122238805951,-0.651426003159066
19273443,50,45,1.66666666666667,0.533333333333333,0.690878730332485,0.277777777777778,0.305555555555556,0.222222222222222,0.194444444444444,9.336573258414,0.564867761959764,1.79585686114917
21328779,56,53,0,0.496666666666667,0.467704506729325,0.288888888888889,0.216666666666667,0.183333333333333,0.311111111111111,6.35961727839839,0.840568289617676,1.54225722902621
21379278,57,49,5.33333333333333,0.485555555555556,0.412622628002312,0.247222222222222,0.219444444444444,0.247222222222222,0.286111111111111,11.2028852592114,0.605170430510554,1.01852991481546
21772469,58,36,-1.66666666666667,0.577222222222222,0.587814073667964,0.461111111111111,0.130555555555556,0.241666666666667,0.166666666666667,18.6975579958222,0.444852096414686,2.37672689141428
22589736,65,26,-3,0.677222222222222,0.984431254660174,0.55,0.341666666666667,0.0527777777777778,0.0555555555555556,13.6999332034939,0.00927876246435566,1.13851406481281
24140470,59,41,6,0.534444444444444,0.621901030512599,0.308333333333333,0.202777777777778,0.341666666666667,0.147222222222222,2.87924808454079,0.810462207073181,0.607532223419423
24860790,51,53,3.5,0.485555555555556,0.56734381731095,0.269444444444444,0.208333333333333,0.202777777777778,0.319444444444444,20.7760342918607,0.584780946959391,0.70337646492489
