subID,gems,bomb,pGems,wGems,chose80,chose60,chose40,chose20,it,lr,sticky
00392341,58,40,0.543333333333333,0.9566298593323,0.344444444444444,0.255555555555556,0.172222222222222,0.227777777777778,6.70396897248218,0.626314106356826,2.02125954016759
01186019,54,42,0.486666666666667,0.469697044275183,0.186111111111111,0.319444444444444,0.236111111111111,0.258333333333333,9.93458598652151,0.466957787187005,1.97857872425038
01591765,49,54,0.512222222222222,0.60602828631445,0.227777777777778,0.344444444444444,0.188888888888889,0.238888888888889,20.3617519585256,0.348591257214896,0.856004338388394
02731898,61,51,0.502222222222222,0.653011068346433,0.227777777777778,0.280555555555556,0.266666666666667,0.225,14.3578477490137,0.70293353806983,1.68695537922508
03357283,55,31,0.561111111111111,0.51508468935496,0.388888888888889,0.258333333333333,0.122222222222222,0.230555555555556,6.8643903972086,0.0571089687776037,1.01451326148261
03842623,50,58,0.477222222222222,0.565369654593853,0.241666666666667,0.188888888888889,0.283333333333333,0.286111111111111,12.5814745252694,0.499104622922181,2.00206259234144
03956182,51,56,0.512777777777778,0.505935751654051,0.266666666666667,0.291666666666667,0.180555555555556,0.261111111111111,20.8414055612402,0.734654945353725,1.41809925387471
04870262,48,46,0.527222222222222,0.959173996142276,0.286111111111111,0.277777777777778,0.222222222222222,0.213888888888889,5.92233414288351,0.734182726535805,1.73701793459976
05294513,65,42,0.573333333333333,0.589283367411356,0.380555555555556,0.263888888888889,0.197222222222222,0.158333333333333,14.3107863867239,0.474402295903202,2.35758698942246
05350540,40,50,0.489444444444444,0.643567085561354,0.202777777777778,0.258333333333333,0.322222222222222,0.216666666666667,9.48621385576171,0.390181252390465,2.48399672822609
05753215,48,42,0.542777777777778,0.604951255066646,0.336111111111111,0.241666666666667,0.222222222222222,0.2,9.77347651809856,0.85690134427429,1.68891037272238
06238679,51,43,0.508888888888889,0.513324315272363,0.280555555555556,0.244444444444444,0.213888888888889,0.261111111111111,16.6194591607415,0.681043275483027,0.240526640859258
06597944,67,37,0.548333333333333,0.464264724741098,0.325,0.291666666666667,0.183333333333333,0.2,5.80701549814075,0.86061757957,2.50662845953678
07048356,39,41,0.526111111111111,0.854411706520259,0.297222222222222,0.225,0.288888888888889,0.188888888888889,3.01866274444351,0.0763263314205044,-0.36621339223323
07780571,52,46,0.517222222222222,0.477305475324834,0.297222222222222,0.155555555555556,0.383333333333333,0.163888888888889,9.17194172669973,0.806788621774444,-0.181442705813976
08157512,39,65,0.455555555555556,0.322553341599989,0.161111111111111,0.344444444444444,0.105555555555556,0.388888888888889,6.56504747875494,0.880623623674484,0.448291714870907
08295851,51,47,0.522777777777778,0.581431782418798,0.336111111111111,0.163888888888889,0.277777777777778,0.222222222222222,6.10110930867941,0.981752098895458,-0.383725667242055
10882846,47,43,0.512222222222222,0.773370108985307,0.291666666666667,0.236111111111111,0.213888888888889,0.258333333333333,7.76764740548989,0.546519983798109,1.25678645316912
12440507,53,61,0.491111111111111,0.493813119228328,0.25,0.225,0.255555555555556,0.269444444444444,11.2159152870616,0.428295183679284,2.20067084266507
13043210,44,62,0.492222222222222,0.515287049234893,0.241666666666667,0.213888888888889,0.308333333333333,0.236111111111111,23.9981724247927,0.682296423013501,0.834243570222434
13416255,55,39,0.592777777777778,0.657870387611204,0.477777777777778,0.219444444444444,0.0916666666666667,0.211111111111111,6.7617208387128,0.403556082012662,1.22777933026807
13786396,45,50,0.53,0.968684899747293,0.25,0.280555555555556,0.338888888888889,0.130555555555556,11.2265079058711,0.459380602851943,2.40509724476834
14859584,37,35,0.606666666666667,0.998539716810678,0.455555555555556,0.236111111111111,0.194444444444444,0.113888888888889,4.62579614107283,0.308558983532157,0.600898677542952
