subID,gems,bomb,igbias,wGems,it,lr,sticky
01076235,99,92,5,0.63622343095361,1.88832354635487,0.72845304841981,0.482333709459035
01083697,91,77,2.5,0.995456168368357,5.41956809482257,0.749456705498026,2.37651868383061
01495040,95,105,3.33333333333333,0.521332216543481,6.87323279043334,0.563532919261337,1.68187637423152
02369649,92,98,3.33333333333333,0.490857039176464,5.70804495686844,0.774807786426693,1.48895102587726
02453898,110,91,6,0.694356687504074,4.84914799956716,0.452712338869808,1.37700122451489
03041997,98,89,0,0.511093733965051,9.28181069530926,0.611698729271669,1.72393169507661
03084124,99,103,0,0.362930777157272,15.5802522279499,0.011037911537814,1.52797787096422
03359801,108,105,3.33333333333333,0.81567916081562,9.84025435730965,0.73877239766212,0.588047118395022
03511473,98,92,3,0.629066075438879,3.68120577138916,0.984248666442767,-0.0592232516647891
03637799,70,97,0,0.618103039272114,1.69825406079317,0.649401267865664,1.70102581969557
03913942,114,118,6,0.587563795740396,5.79911719451409,0.626862302378715,1.92199100249303
05353067,102,85,3.16666666666667,0.996557501147303,1.57235917015605,0.416506556055686,1.69657574732627
05861698,90,93,6,0.668013742662297,1.99287263377961,0.715602579407179,-0.194540741246486
06617041,106,108,-0.333333333333333,0.44786384838385,10.8510941627637,0.570444825449011,1.28388145531883
08379612,91,76,0,0.995654588758846,2.9272565194108,0.706644337846219,1.61289753993617
10951372,119,95,-1.33333333333333,0.614243314700325,6.1283382741826,0.581734563805399,1.93269110438619
11824420,98,85,-2.83333333333333,0.715819637695837,13.9768798864736,0.891993954013705,1.07477469482717
13038806,106,99,0,0.440746235612273,7.34597423358004,0.194744095179602,3.03406071546679
13614112,98,80,2.83333333333333,0.57466417538577,13.3135290377816,0.831662638114277,0.495117917839947
13712542,97,100,0.333333333333333,0.617183302866381,19.5094854266247,0.708422615448362,0.167864953158162
14973083,105,115,6,0.474769992395715,9.55475569989048,0.477054579116208,1.79538056254107
15300997,92,103,2.66666666666667,0.444650280430649,10.6355116366243,0.777155747033526,0.820417554958508
15946703,98,98,1.83333333333333,0.511420464622402,7.51413466250793,0.630957320720499,0.47522407461604
16528879,95,85,0,0.740946155326803,5.87918453157569,0.758810907549912,-0.444216841276041
18137706,100,92,1.5,0.715724540670013,10.6211843489622,0.657280915382578,1.13502368695382
18546220,97,90,5.5,0.823965457793351,11.8895950055622,0.575074143728036,2.62360269157562
20087652,115,78,2.83333333333333,0.477664684397465,9.79839168012643,0.789042515292662,0.90395860372085
20365287,90,99,1.5,0.994139308728788,3.23659159994759,0.795886286723115,1.84251400038768
20434124,105,99,5.83333333333333,0.787438333771244,5.56799294385577,0.569830985684441,1.67546337509284
20730402,117,82,-2.5,0.994946325480221,4.74266399309381,0.416922043212974,1.67673077390607
21996050,109,117,1.5,0.568326361919308,7.24372820672705,0.99411802455812,-0.0582469125660792
22222852,106,97,0,0.459990274928253,12.6119416174395,0.500130784583016,2.23606327730643
22513847,100,116,-0.833333333333333,0.79512388268258,11.9104978064089,0.591079363825403,2.87800670829377
24477510,110,99,1,0.658092635835017,10.1297355893162,0.560685643017744,1.96996845227512
24903049,104,93,2.83333333333333,0.892120686256184,9.16895401601838,0.288426620021957,1.75844025459976
25245397,85,84,4,0.530272306159731,7.10584893854707,0.656132246290395,-0.0538123665945765
25315887,91,103,1.5,0.722630751922984,12.4796983472567,0.829383130858174,0.753644668434854
25577148,97,91,0,0.994008208733001,4.55148117261469,0.756777140190074,0.250217240580242
27358332,106,100,5,0.469443103411168,12.129357327182,0.815181307592658,1.29935171571329
28457033,90,79,6,0.575986076279474,10.5775370927031,0.622051093243532,1.5532071547185
28783217,102,96,0.833333333333333,0.627424025187152,10.5532791304269,0.734651794325392,2.36267370637088
28805773,100,111,5.66666666666667,0.596543003372678,4.10755003005513,0.920459622223927,1.57662114856223
29364753,95,116,-1.5,0.561420844064426,11.134191873247,0.500854448372699,1.23092853102697
30244577,96,95,6,0.506823424265735,7.61649707762606,0.469392576619633,1.57998458344081
30261372,94,90,3.16666666666667,0.637207950833093,4.1906929098086,0.517362603962865,1.74252616314077
