subID,gems,bomb,igbias,pGems,chose80,chose60,chose40,chose20,it,lr,sticky,rt_mean,rt_tot
00296076,45,53,1.33333333333333,0.497222222222222,0.252777777777778,0.258333333333333,0.211111111111111,0.277777777777778,7.71899892302553,0.785236378390191,-0.155851631794451,226.527777777778,226.527777777778
00526075,41,57,0,0.490555555555556,0.194444444444444,0.261111111111111,0.347222222222222,0.197222222222222,2.66906656578766,0.38107034371476,0.937338473137485,775.619444444444,775.619444444444
00588330,59,53,3.5,0.505,0.272222222222222,0.205555555555556,0.297222222222222,0.225,7.47566790145675,0.709633600728485,1.11306485661568,937.083333333333,937.083333333333
00740011,57,40,5.5,0.649444444444444,0.516666666666667,0.280555555555556,0.136111111111111,0.0666666666666667,4.69378027824948,0.0203534125635751,2.29082490368613,542.305555555556,542.305555555556
01270406,55,35,0.5,0.557222222222222,0.252777777777778,0.430555555555556,0.166666666666667,0.15,11.3777421786798,0.54320123303938,2.25303479444405,342.730555555556,342.730555555556
01312377,54,37,-1.16666666666667,0.620555555555556,0.444444444444444,0.313888888888889,0.141666666666667,0.1,4.36606561955045,0.00544372472980922,3.24348674629003,613.591666666667,613.591666666667
03623359,43,58,2.33333333333333,0.483333333333333,0.161111111111111,0.333333333333333,0.266666666666667,0.238888888888889,3.32737029099665,0.609689403138296,1.70347730056702,489.608333333333,489.608333333333
03702532,59,27,-0.333333333333333,0.623333333333333,0.558333333333333,0.111111111111111,0.219444444444444,0.111111111111111,14.0021028198331,0.00865309223225783,1.30883963039903,291.913888888889,291.913888888889
03850154,44,65,0,0.471666666666667,0.2,0.213888888888889,0.330555555555556,0.255555555555556,4.43636412996944,0.653563450078922,0.928773917299911,1178.36944444444,1178.36944444444
04702056,31,45,1.33333333333333,0.460555555555556,0.180555555555556,0.255555555555556,0.25,0.313888888888889,5.18152639291265,0.280111937875768,3.11251519519138,512.394444444444,512.394444444444
04976717,51,44,2,0.498888888888889,0.255555555555556,0.233333333333333,0.261111111111111,0.25,4.65633740433944,0.989984660351892,-0.998671375219826,481.241666666667,481.241666666667
05055147,52,55,-4.5,0.512777777777778,0.288888888888889,0.197222222222222,0.302777777777778,0.211111111111111,2.76074922309556,0.820049719682161,-0.262927961027728,738.719444444444,738.719444444444
06244427,46,58,6,0.481111111111111,0.205555555555556,0.272222222222222,0.244444444444444,0.277777777777778,7.24537451364889,0.684976402169103,0.469512577585827,494.555555555556,494.555555555556
06502927,67,44,0.5,0.475,0.172222222222222,0.277777777777778,0.302777777777778,0.247222222222222,5.55261715219851,0.28801805571691,2.84859806027338,519.955555555556,519.955555555556
07368596,57,44,6,0.508888888888889,0.244444444444444,0.283333333333333,0.244444444444444,0.227777777777778,9.46256584181763,0.727922363566246,0.938821529280074,322.408333333333,322.408333333333
07690975,51,62,6,0.533333333333333,0.255555555555556,0.305555555555556,0.288888888888889,0.15,8.46662283888953,0.551157401551533,-0.0815869523274889,553.033333333333,553.033333333333
08833678,60,30,0.833333333333333,0.640555555555556,0.466666666666667,0.322222222222222,0.158333333333333,0.0527777777777778,3.58833702989566,0.0278061597145011,2.80447273577623,449.530555555556,449.530555555556
09072577,44,50,6,0.447222222222222,0.291666666666667,0.0666666666666667,0.227777777777778,0.413888888888889,13.8791046521139,0.54004017020782,1.77264288102984,455.547222222222,455.547222222222
09175928,56,47,4.5,0.528888888888889,0.280555555555556,0.277777777777778,0.247222222222222,0.194444444444444,15.154851231935,0.775317154523108,0.884908800038421,256.175,256.175
09192717,47,52,3,0.528888888888889,0.277777777777778,0.305555555555556,0.2,0.216666666666667,0.869507963745392,0.278283128491367,-1.15082361765139,1295.11666666667,1295.11666666667
09426093,51,62,4.5,0.466666666666667,0.222222222222222,0.202777777777778,0.261111111111111,0.313888888888889,6.73624934530238,0.883621761383597,1.24813739907968,359.380555555556,359.380555555556
09515401,67,49,-1.66666666666667,0.617222222222222,0.413888888888889,0.372222222222222,0.1,0.113888888888889,8.97674769653427,0.50678418847133,2.43879314751357,352.233333333333,352.233333333333
10187574,37,49,0,0.529444444444444,0.25,0.311111111111111,0.275,0.163888888888889,4.34363349938615,0.0046546695660669,0.0218434912468201,1008.06666666667,1008.06666666667
10879596,35,47,0.333333333333333,0.413333333333333,0.175,0.0972222222222222,0.347222222222222,0.380555555555556,17.6487574940429,0.0080870278631997,-0.672661011641172,1397.69722222222,1397.69722222222
12517310,50,48,1.33333333333333,0.517777777777778,0.316666666666667,0.172222222222222,0.294444444444444,0.216666666666667,4.97228633638007,0.534623931568456,1.00137588525617,171.561111111111,171.561111111111
13187427,74,44,0.666666666666667,0.563888888888889,0.372222222222222,0.244444444444444,0.213888888888889,0.169444444444444,3.95478688510447,0.438691147886723,2.08407726389016,301,301
13517775,47,60,-0.5,0.463333333333333,0.147222222222222,0.311111111111111,0.252777777777778,0.288888888888889,4.48766184237277,0.513695722992577,1.29939234586925,3822.96666666667,3822.96666666667
14334805,44,58,6,0.498888888888889,0.297222222222222,0.2,0.202777777777778,0.3,5.67449573404579,0.586616445636586,-0.519968651607036,857.391666666667,857.391666666667
15056030,45,54,3,0.448333333333333,0.222222222222222,0.152777777777778,0.269444444444444,0.355555555555556,5.98680999038065,0.302035365453679,1.97973020208021,329.430555555556,329.430555555556
15958249,52,60,3.66666666666667,0.460555555555556,0.263888888888889,0.147222222222222,0.216666666666667,0.372222222222222,8.4348384408672,0.546976362567928,2.19184440040222,443.086111111111,443.086111111111
16028023,48,55,4,0.518888888888889,0.319444444444444,0.247222222222222,0.141666666666667,0.291666666666667,8.53416431319414,0.597938273788951,1.63548779422932,241.608333333333,241.608333333333
16057133,58,35,0.5,0.586666666666667,0.408333333333333,0.236111111111111,0.236111111111111,0.119444444444444,1.534021316397,0.425684346707641,2.75478450821907,232.072222222222,232.072222222222
16062785,51,49,-0.166666666666667,0.525,0.255555555555556,0.286111111111111,0.286111111111111,0.172222222222222,6.28613073707079,0.483553129187628,1.41152035557523,1751.67222222222,1751.67222222222
19138826,47,58,1.66666666666667,0.466111111111111,0.169444444444444,0.252777777777778,0.316666666666667,0.261111111111111,3.80910705896222,0.005420358028946,-0.643015136599611,678.6,678.6
19273443,50,45,1.66666666666667,0.533333333333333,0.277777777777778,0.305555555555556,0.222222222222222,0.194444444444444,4.12818535876489,0.480642177845489,1.83043824865381,599.722222222222,599.722222222222
21328779,56,53,0,0.496666666666667,0.288888888888889,0.216666666666667,0.183333333333333,0.311111111111111,3.25669007402704,0.835129947442114,1.53660573881158,672.113888888889,672.113888888889
21379278,57,49,5.33333333333333,0.485555555555556,0.247222222222222,0.219444444444444,0.247222222222222,0.286111111111111,5.57666506014116,0.578253478166827,1.01216169969155,344.883333333333,344.883333333333
21772469,58,36,-1.66666666666667,0.577222222222222,0.461111111111111,0.130555555555556,0.241666666666667,0.166666666666667,12.7583330022792,0.4916749320028,2.32252788192517,511.980555555556,511.980555555556
22589736,65,26,-3,0.677222222222222,0.55,0.341666666666667,0.0527777777777778,0.0555555555555556,15.6561320922137,0.00604232870959655,1.19456074206541,437.738888888889,437.738888888889
24140470,59,41,6,0.534444444444444,0.308333333333333,0.202777777777778,0.341666666666667,0.147222222222222,1.47692847122397,0.791540537510976,0.621907212894527,335.375,335.375
24860790,51,53,3.5,0.485555555555556,0.269444444444444,0.208333333333333,0.202777777777778,0.319444444444444,11.2445844927851,0.605255712856271,0.690428950379441,432.125,432.125
27526815,61,40,3.33333333333333,0.538333333333333,0.325,0.238888888888889,0.238888888888889,0.197222222222222,8.50615373504657,0.741150812271339,0.631114939992717,185.772222222222,185.772222222222
28181675,57,48,5.83333333333333,0.493888888888889,0.233333333333333,0.280555555555556,0.208333333333333,0.277777777777778,10.7656570600312,0.580116912642514,2.23688849773814,896.219444444444,896.219444444444
29911078,61,53,4.66666666666667,0.483333333333333,0.194444444444444,0.336111111111111,0.161111111111111,0.308333333333333,4.70873901692935,0.43269054877128,2.17402284172098,415.222222222222,415.222222222222
30603856,37,46,5,0.488888888888889,0.169444444444444,0.352777777777778,0.230555555555556,0.247222222222222,10.4925973614912,0.576557992439864,1.14564915209627,534.8,534.8
31596345,63,38,4,0.560555555555556,0.333333333333333,0.322222222222222,0.158333333333333,0.186111111111111,1.49483303263079,0.479250043351004,2.30174074556458,835.847222222222,835.847222222222
32347450,42,51,6,0.488888888888889,0.188888888888889,0.247222222222222,0.383333333333333,0.180555555555556,3.22243747637464,0.584055450877291,1.40311936238653,247.944444444444,247.944444444444
35189446,55,55,0.166666666666667,0.506666666666667,0.25,0.3,0.183333333333333,0.266666666666667,4.68963501709005,0.415018546498222,1.80270082350736,607.252777777778,607.252777777778
35814804,31,58,5,0.455,0.219444444444444,0.158333333333333,0.3,0.322222222222222,4.16531994288978,0.57278693956679,0.7744789674144,266.036111111111,266.036111111111
35841048,58,44,-0.833333333333333,0.59,0.416666666666667,0.233333333333333,0.233333333333333,0.116666666666667,3.37839384629639,0.070126403839905,1.20663064063929,851.663888888889,851.663888888889
36774644,42,40,-3.16666666666667,0.543333333333333,0.308333333333333,0.277777777777778,0.236111111111111,0.177777777777778,4.00444773517679,0.00732613911078328,0.525888268020639,984.472222222222,984.472222222222
37137883,64,40,0.333333333333333,0.600555555555556,0.472222222222222,0.219444444444444,0.147222222222222,0.161111111111111,7.98754163687079,0.335347522581773,2.92663489939061,316.361111111111,316.361111111111
37153696,65,51,6,0.515555555555556,0.233333333333333,0.327777777777778,0.222222222222222,0.216666666666667,7.2170975035245,0.309931754278758,0.683314073240227,539.366666666667,539.366666666667
39238075,39,46,5,0.526666666666667,0.277777777777778,0.294444444444444,0.211111111111111,0.216666666666667,5.48131025865062,0.00534579419733747,-0.302254843144839,488.486111111111,488.486111111111
