subID,gems,bomb,igbias,wGems,it,lr,sticky,rt_mean,rt_tot
01076235,99,92,5,0.636223445385317,1.88832369718112,0.728453039805447,0.482333716486481,461.502777777778,166141
01083697,91,77,2.5,0.995456168512745,5.41956724793003,0.749456660479702,2.37651858123851,374.363888888889,134771
01495040,95,105,3.33333333333333,0.521332187509897,6.8732324925323,0.563532938826446,1.68187637356066,2468.42777777778,888634
02369649,92,98,3.33333333333333,0.490857041049479,5.7080450667578,0.77480776633432,1.48895097856572,210.725,75861
02453898,110,91,6,0.694356650485565,4.84914837989372,0.452712316414641,1.37700116133961,318.955555555556,114824
03041997,98,89,0,0.511093752792217,9.2818105500814,0.611698757389618,1.72393169106968,387.75,139590
03084124,99,103,0,0.362930787060287,15.5802543504365,0.0110379103250957,1.5279777595699,1109.98611111111,399595
03359801,108,105,3.33333333333333,0.815679158066892,9.8402543245253,0.738772374534324,0.588047185978972,445.166666666667,160260
03511473,98,92,3,0.629066049257686,3.68120604190204,0.984248667938935,-0.059223291222821,789.997222222222,284399
03637799,70,97,0,0.618103067436597,1.69825453997114,0.649401256492817,1.70102579046193,1571.63611111111,565789
03913942,114,118,6,0.587563817238531,5.7991172601938,0.626862280106368,1.92199095107022,182.536111111111,65713
05353067,102,85,3.16666666666667,0.996557513869264,1.57235847037044,0.416506714222617,1.69657587025003,359.183333333333,129306
05861698,90,93,6,0.668013770150237,1.992872690161,0.715602470269891,-0.194540713023487,1702.36944444444,612853
06617041,106,108,-0.333333333333333,0.447863823171075,10.8510939944741,0.570444840476904,1.28388147343405,293.688888888889,105728
08379612,91,76,0,0.995654590832071,2.92725623418622,0.706644379949463,1.61289756636378,256.438888888889,92318
10951372,119,95,-1.33333333333333,0.614243301933271,6.12833833171918,0.581734542221701,1.9326911440912,147.622222222222,53144
11824420,98,85,-2.83333333333333,0.715819619064866,13.976879933583,0.891993957449465,1.07477467587521,653.961111111111,235426
13038806,106,99,0,0.440746229960565,7.34597426507655,0.194744090928038,3.03406085079467,647.605555555556,233138
13614112,98,80,2.83333333333333,0.574664159065831,13.3135284542669,0.831662639970813,0.495117997771943,434.208333333333,156315
13712542,97,100,0.333333333333333,0.617183293883478,19.5094853668969,0.708422619127596,0.167864945650397,194.233333333333,69924
14973083,105,115,6,0.474770012451087,9.55475550405383,0.477054579183694,1.79538053274007,317.966666666667,114468
15300997,92,103,2.66666666666667,0.444650280502009,10.6355118719601,0.777155750482006,0.820417585278045,283.591666666667,102093
15946703,98,98,1.83333333333333,0.511420448229156,7.51413484445765,0.630957303206274,0.475224020523502,263.219444444444,94759
16528879,95,85,0,0.740946140367587,5.87918452168341,0.758810928643079,-0.444216756130812,272.313888888889,98033
18137706,100,92,1.5,0.71572456210955,10.6211845835177,0.657280933716859,1.13502363560335,201.475,72531
18546220,97,90,5.5,0.823965432186792,11.8895949148774,0.575074118517775,2.62360270946115,402.588888888889,144932
20087652,115,78,2.83333333333333,0.47766466247731,9.79839212176797,0.789042503805453,0.903958537610197,387.055555555556,139340
20365287,90,99,1.5,0.994139313065513,3.23659145852431,0.795886319674683,1.84251381754285,669.658333333333,241077
20434124,105,99,5.83333333333333,0.787438385203774,5.56799314215426,0.569831014628859,1.67546337619406,442.905555555556,159446
20730402,117,82,-2.5,0.994946327913411,4.74266389512727,0.416922034635966,1.67673080964571,121.108333333333,43599
21996050,109,117,1.5,0.568326358987174,7.24372801583655,0.994118031270879,-0.0582469023381184,236.166666666667,85020
22222852,106,97,0,0.459990237251834,12.6119429736608,0.500130785750709,2.23606315034914,235.333333333333,84720
22513847,100,116,-0.833333333333333,0.795123870976283,11.9104965992727,0.591079347134177,2.8780066876883,321.872222222222,115874
24477510,110,99,1,0.658092630608147,10.1297357683229,0.560685636683068,1.96996844405187,362.972222222222,130670
24903049,104,93,2.83333333333333,0.892120687881146,9.16895416474592,0.288426637241412,1.75844030570449,207.252777777778,74611
25245397,85,84,4,0.530272309653191,7.10584859022378,0.656132287145695,-0.0538123923941749,133.388888888889,48020
25315887,91,103,1.5,0.722630775313699,12.4796984904044,0.829383147754363,0.753644726516423,155.286111111111,55903
25577148,97,91,0,0.994008206360605,4.55148149982392,0.756777130378963,0.250217272752494,260.077777777778,93628
27358332,106,100,5,0.469443108783082,12.1293569162865,0.815181281097206,1.29935173251903,552.422222222222,198872
28457033,90,79,6,0.57598608663572,10.5775370584958,0.622051075714107,1.55320719442646,168.747222222222,60749
28783217,102,96,0.833333333333333,0.627424031057086,10.5532782179751,0.734651803120026,2.36267368110567,386.986111111111,139315
28805773,100,111,5.66666666666667,0.596543029659916,4.10755044429058,0.920459649278361,1.57662119957018,645.655555555556,232436
29364753,95,116,-1.5,0.561420849470802,11.1341918303798,0.500854456115997,1.23092845582661,246.322222222222,88676
30244577,96,95,6,0.506823407420792,7.6164976390407,0.469392557681855,1.57998464811455,360.797222222222,129887
30261372,94,90,3.16666666666667,0.637207943586955,4.19069269685007,0.517362649223179,1.74252618810502,524.697222222222,188891
32131718,88,83,2.16666666666667,0.995434818516858,0.882604318200885,0.806417441623035,1.40567082619043,668.127777777778,240526
32616535,117,94,-0.333333333333333,0.829852173508134,3.43531224138957,0.466227135319509,2.62056203299512,904.144444444444,325492
33087855,95,104,0,0.507297022111043,8.84573183347463,0.943928602732593,-0.763913693296839,175.716666666667,63258
33326280,94,90,-0.333333333333333,0.741424217265723,6.88454015787149,0.926354525941139,1.33565833272932,239.658333333333,86277
35200055,89,89,0.666666666666667,0.646046553897182,4.27997044051133,0.677197368744939,0.898263009468084,559.858333333333,201549
