subID,gems,bomb,igbias,pGems,chose80,chose60,chose40,chose20,it,lr_pos,lr_neg,sticky,rt_mean,rt_tot
00271149,92,139,5,0.433888888888889,0.119444444444444,0.233333333333333,0.344444444444444,0.302777777777778,8.60778702433957,0.729139493742918,0.854393556979491,0.875079335612009,606.041666666667,606.041666666667
00767363,104,107,5,0.51,0.244444444444444,0.305555555555556,0.205555555555556,0.244444444444444,2.91332846995543,0.949677651054443,0.724857700510705,-0.392626589526449,498.327777777778,498.327777777778
00768400,90,134,0,0.427222222222222,0.183333333333333,0.144444444444444,0.297222222222222,0.375,2.51641746920661,0.753843109531738,0.616415016292491,2.54826100262935,1003.96111111111,1003.96111111111
01468037,147,61,0,0.693888888888889,0.594444444444444,0.319444444444444,0.0472222222222222,0.0388888888888889,5.71165403367205,0.63090295490939,0.617244622645127,0.795983905153695,676.722222222222,676.722222222222
02123659,97,116,6,0.491666666666667,0.261111111111111,0.255555555555556,0.163888888888889,0.319444444444444,8.99214070387994,0.329062067598856,0.668521277032657,2.03185510527147,421.283333333333,421.283333333333
02966008,110,98,4.66666666666667,0.505,0.305555555555556,0.194444444444444,0.219444444444444,0.280555555555556,8.81821273073174,0.356012317574424,0.809345342583085,2.29989712725885,520.577777777778,520.577777777778
03465827,118,135,5.66666666666667,0.483888888888889,0.255555555555556,0.211111111111111,0.230555555555556,0.302777777777778,8.98777969328217,0.757356984694809,0.751243755102118,1.00747867949358,313.044444444444,313.044444444444
04562014,88,106,4.83333333333333,0.473333333333333,0.119444444444444,0.280555555555556,0.447222222222222,0.152777777777778,10.1731503824557,0.109739829849743,0.405976772149865,1.69791324984531,315.166666666667,315.166666666667
05329053,133,110,3.83333333333333,0.537222222222222,0.280555555555556,0.186111111111111,0.472222222222222,0.0611111111111111,4.86100987770842,0.00707742354227902,0.00121781868112091,3.43037184199244,916.386111111111,916.386111111111
05777084,104,131,3.33333333333333,0.418888888888889,0.0638888888888889,0.313888888888889,0.275,0.347222222222222,7.44996308823327,0.878646746455956,0.894302308583836,0.741645313074567,606.811111111111,606.811111111111
06009359,140,48,2.83333333333333,0.706666666666667,0.716666666666667,0.169444444444444,0.0444444444444444,0.0694444444444444,9.71387890665005,0.925258282064896,0.780825187936769,0.0379890099543748,369.166666666667,369.166666666667
06750736,110,100,-3.16666666666667,0.515555555555556,0.244444444444444,0.305555555555556,0.233333333333333,0.216666666666667,4.51991779842299,0.352081402251475,0.871107344612263,1.12402422202201,476.866666666667,476.866666666667
06855230,122,100,4.16666666666667,0.528888888888889,0.361111111111111,0.186111111111111,0.188888888888889,0.263888888888889,9.08514616791954,0.907399544365653,0.98545623251862,-1.10120825230096,153.505555555556,153.505555555556
07251267,108,95,2.5,0.520555555555556,0.294444444444444,0.219444444444444,0.280555555555556,0.205555555555556,10.4542644067084,0.653617188557335,0.802046671331521,0.748238016418339,984,984
07827655,99,107,1,0.477222222222222,0.2,0.261111111111111,0.263888888888889,0.275,5.18304230878004,0.307204737257676,0.563710804651416,1.15085823148986,537.983333333333,537.983333333333
