gems,bomb,igbias,pBurn,wEarn,chose80,chose60,chose40,chose20,it,lr,sticky,rt_mean,rt_tot
51,38,6,0.479444444444444,0.434326317089586,0.230555555555556,0.316666666666667,0.277777777777778,0.175,11.8559552351906,0.672016275378496,1.0789976335711,218.333333333333,78600
48,50,5.16666666666667,0.461666666666667,0.48864719829349,0.294444444444444,0.291666666666667,0.225,0.188888888888889,6.62551447880076,0.731995140454983,0.527769647063875,449.911111111111,161968
53,53,4.66666666666667,0.506111111111111,0.476278803650264,0.266666666666667,0.213888888888889,0.241666666666667,0.277777777777778,16.9697618469487,0.561192198052435,-0.022711128987256,229.011111111111,82444
32,60,2.33333333333333,0.560555555555555,0.565981917269008,0.147222222222222,0.233333333333333,0.288888888888889,0.330555555555556,10.0439942853869,0.562542885434024,0.921610477515864,478.311111111111,172192
48,54,2.66666666666667,0.494444444444444,0.55928880050669,0.138888888888889,0.447222222222222,0.216666666666667,0.197222222222222,13.2373976109493,0.0150565759151151,0.41176529801199,748.619444444444,269503
57,51,1,0.478888888888889,0.467346081811211,0.302777777777778,0.2,0.297222222222222,0.2,10.5522429159288,0.686565883686002,-0.667302625101187,549.05,197658
40,42,3.33333333333334,0.519444444444444,0.52129101630195,0.272222222222222,0.183333333333333,0.219444444444444,0.325,13.8678662626444,0.844572245253354,-0.886390586831371,229.588888888889,82652
52,37,3,0.490555555555556,0.393647177421781,0.302777777777778,0.180555555555556,0.277777777777778,0.238888888888889,20.2294320870635,0.763596405257769,-0.439028332520055,238.797222222222,85967
57,50,1.33333333333333,0.478333333333333,0.669241324875977,0.238888888888889,0.305555555555556,0.280555555555556,0.175,7.09913333196742,0.571965300403051,1.9071398720806,261.175,94023
44,79,6,0.601666666666667,0.149962655836456,0.138888888888889,0.194444444444444,0.186111111111111,0.480555555555556,11.1004663298079,0.639245478896329,2.15972585995443,840.902777777778,302725
53,51,2.5,0.540555555555556,0.441751928375373,0.2,0.241666666666667,0.213888888888889,0.344444444444444,8.4068710662149,0.714827753699395,2.24128929926062,792.333333333333,285240
54,33,0,0.421666666666667,0.751845179603292,0.425,0.194444444444444,0.227777777777778,0.152777777777778,4.04814769139916,0.111078787606779,0.511949385552903,1192.56666666667,429324
53,48,1.33333333333333,0.487222222222222,0.635929124218076,0.272222222222222,0.263888888888889,0.219444444444444,0.244444444444444,10.4421258083924,0.681598184631355,1.65629062569223,489.730555555556,176303
44,64,6,0.536666666666667,0.408354690641489,0.247222222222222,0.177777777777778,0.219444444444444,0.355555555555556,5.4880192755928,0.637999254159016,-0.16914050103331,461.625,166185
54,39,2.66666666666667,0.516666666666667,0.372665938419301,0.305555555555556,0.183333333333333,0.133333333333333,0.377777777777778,4.47570765653747,0.938778662294103,1.15919474091854,1322.51944444444,476107
49,56,2.66666666666666,0.525555555555556,0.338544266012192,0.213888888888889,0.225,0.280555555555556,0.280555555555556,21.9820334660561,0.792644159275886,0.46531382824311,155.680555555556,56045
54,67,3.33333333333333,0.481111111111111,0.474380667770622,0.277777777777778,0.255555555555556,0.25,0.216666666666667,25.8691761623183,0.741291693243037,0.963406054454524,507.983333333333,182874
44,60,5,0.537222222222222,0.274479313890342,0.186111111111111,0.241666666666667,0.272222222222222,0.3,7.54586127137323,0.546160168114752,1.44625148206648,487.413888888889,175469
48,38,4,0.433888888888889,0.97963350673583,0.363888888888889,0.263888888888889,0.211111111111111,0.161111111111111,5.90934487070898,0.023982589964698,-0.024546187436416,689.611111111111,248260
46,79,3.66666666666667,0.657777777777778,0.0102914433073578,0.125,0.15,0.0361111111111111,0.688888888888889,19.3152970432492,0.0134130256628206,1.26822107548778,593.133333333333,213528
50,43,0.66666666666667,0.52,0.880304575004018,0.197222222222222,0.308333333333333,0.191666666666667,0.302777777777778,1.08982752793312,0.922200443929348,2.51884114118126,729.647222222222,262673
63,34,6,0.403888888888889,0.972030927242241,0.4,0.302777777777778,0.175,0.122222222222222,9.00557986755432,0.00854129659636078,-0.0728983121300669,155.722222222222,56060
63,40,2.66666666666667,0.450555555555556,0.513894217092246,0.361111111111111,0.202777777777778,0.258333333333333,0.177777777777778,11.5639391544171,0.710906659571525,0.0541367132801496,291.041666666667,104775
46,45,5.33333333333333,0.491666666666667,0.377096250055623,0.247222222222222,0.261111111111111,0.277777777777778,0.213888888888889,8.49061645549862,0.961573498562404,0.822723560862326,999.433333333333,359796
