subID,gems,bomb,pGems,wGems,chose80,chose60,chose40,chose20,it,lr,sticky,rt_mean,rt_tot
03956182,51,56,0.512777777777778,0.50593576243005,0.266666666666667,0.291666666666667,0.180555555555556,0.261111111111111,20.841404124645,0.734654917532799,1.41809921462738,555.491666666667,199977
04870262,48,46,0.527222222222222,0.959174003932947,0.286111111111111,0.277777777777778,0.222222222222222,0.213888888888889,5.92233465478362,0.734182753410334,1.73701800477074,258.811111111111,93172
05294513,65,42,0.573333333333333,0.589283404928086,0.380555555555556,0.263888888888889,0.197222222222222,0.158333333333333,14.3107865121905,0.474402314577389,2.35758708932436,622.161111111111,223978
05350540,40,50,0.489444444444444,0.643567026403817,0.202777777777778,0.258333333333333,0.322222222222222,0.216666666666667,9.48621342000425,0.390181245586719,2.48399668827326,539.708333333333,194295
05753215,48,42,0.542777777777778,0.604951258318686,0.336111111111111,0.241666666666667,0.222222222222222,0.2,9.7734777780452,0.856901350075096,1.68891035719345,216.913888888889,78089
06238679,51,43,0.508888888888889,0.513324321155189,0.280555555555556,0.244444444444444,0.213888888888889,0.261111111111111,16.6194589561551,0.681043257130762,0.240526633843755,346.405555555556,124706
06597944,67,37,0.548333333333333,0.464264746365036,0.325,0.291666666666667,0.183333333333333,0.2,5.80701559413949,0.86061751333092,2.50662843306298,512.994444444444,184678
07048356,39,41,0.526111111111111,0.854411647226393,0.297222222222222,0.225,0.288888888888889,0.188888888888889,3.01866479478368,0.0763262006766661,-0.366213490818417,865.247222222222,311489
07780571,52,46,0.517222222222222,0.477305481402168,0.297222222222222,0.155555555555556,0.383333333333333,0.163888888888889,9.17194153802199,0.806788606442782,-0.18144268829114,161.505555555556,58142
08157512,39,65,0.455555555555556,0.322553328374171,0.161111111111111,0.344444444444444,0.105555555555556,0.388888888888889,6.56504743576007,0.880623652861332,0.448291813075376,659.136111111111,237289
08295851,51,47,0.522777777777778,0.581431789081454,0.336111111111111,0.163888888888889,0.277777777777778,0.222222222222222,6.10110885613121,0.981752117107049,-0.383725708869197,389.875,140355
10882846,47,43,0.512222222222222,0.773370120183165,0.291666666666667,0.236111111111111,0.213888888888889,0.258333333333333,7.7676479853976,0.546520035103414,1.25678643234404,151.788888888889,54644
12440507,53,61,0.491111111111111,0.493813133186149,0.25,0.225,0.255555555555556,0.269444444444444,11.2159151967376,0.42829519232375,2.20067079551769,347.116666666667,124962
13043210,44,62,0.492222222222222,0.515287052486044,0.241666666666667,0.213888888888889,0.308333333333333,0.236111111111111,23.9981754938378,0.682296454706618,0.83424350239252,250.347222222222,90125
13416255,55,39,0.592777777777778,0.657870416676728,0.477777777777778,0.219444444444444,0.0916666666666667,0.211111111111111,6.76172112383796,0.403556065885889,1.2277792081099,671.422222222222,241712
13786396,45,50,0.53,0.968684886359036,0.25,0.280555555555556,0.338888888888889,0.130555555555556,11.2265079129343,0.459380545303128,2.40509727138422,2608.05,938898
14859584,37,35,0.606666666666667,0.99853971519573,0.455555555555556,0.236111111111111,0.194444444444444,0.113888888888889,4.62579832389351,0.308558897962912,0.600898486509775,1231.51944444444,443347
14993367,45,61,0.494444444444444,0.668556045544283,0.277777777777778,0.183333333333333,0.272222222222222,0.266666666666667,11.3622786407821,0.966207315560011,-1.06818182325776,451.308333333333,162471
15068272,62,37,0.581111111111111,0.997937580009776,0.363888888888889,0.291666666666667,0.230555555555556,0.113888888888889,3.2257817732822,0.647139262007516,0.113860049551199,1163.73055555556,418943
15163609,58,47,0.516666666666667,0.435349679537976,0.266666666666667,0.308333333333333,0.166666666666667,0.258333333333333,8.37386210530144,0.969717591616741,1.01064913582761,428.433333333333,154236
15328969,42,64,0.484444444444444,0.767920011341037,0.288888888888889,0.163888888888889,0.227777777777778,0.319444444444444,10.5208859177996,0.74583114295698,1.90974866760972,488.561111111111,175882
16350575,57,53,0.480555555555556,0.571862340232887,0.255555555555556,0.138888888888889,0.358333333333333,0.247222222222222,9.55309542821064,0.642979013929001,1.48253210428022,737.586111111111,265531
18821922,43,55,0.446666666666667,0.36945434871684,0.15,0.163888888888889,0.455555555555556,0.230555555555556,11.1453490346656,0.383501802777121,2.60788152299481,741.111111111111,266800
19750274,44,36,0.523333333333333,0.99534078311929,0.216666666666667,0.347222222222222,0.272222222222222,0.163888888888889,1.83080312077838,0.959332768657507,-0.354126540024305,377.963888888889,136067
20576075,31,44,0.442777777777778,0.347279409204276,0.0916666666666667,0.280555555555556,0.377777777777778,0.25,13.8432712873351,0.0196416012166878,0.196316604318024,748.227777777778,269362
21187470,40,59,0.440555555555556,0.465822276241373,0.2,0.161111111111111,0.280555555555556,0.358333333333333,6.3401565226558,0.872223551202948,1.24096552030896,611.025,219969
21411993,43,65,0.431666666666667,0.443315088434339,0.194444444444444,0.183333333333333,0.208333333333333,0.413888888888889,23.437475784024,0.440769266505084,0.686294814487603,453.691666666667,163329
21414377,56,39,0.552777777777778,0.643161027698052,0.330555555555556,0.311111111111111,0.15,0.208333333333333,12.1817650040156,0.456275347586914,2.17830399032809,355.402777777778,127945
21775766,55,46,0.501666666666667,0.625588322112529,0.236111111111111,0.283333333333333,0.233333333333333,0.247222222222222,13.3697933291728,0.556645664944829,1.85287711721949,270.883333333333,97518
21843962,49,46,0.532222222222222,0.577480433916572,0.277777777777778,0.280555555555556,0.266666666666667,0.175,11.1848304846435,0.148779564333407,1.42610121707497,206.616666666667,74382
23545498,42,50,0.450555555555556,0.296597497529423,0.0611111111111111,0.425,0.219444444444444,0.294444444444444,11.6136421344579,0.00898425425912806,0.303911821246279,160.986111111111,57955
23860796,53,54,0.508888888888889,0.43757471691115,0.252777777777778,0.272222222222222,0.241666666666667,0.233333333333333,11.6045391811471,0.681964751362995,2.02676913877706,215.333333333333,77520
23903876,46,59,0.529444444444444,0.649009103483182,0.211111111111111,0.363888888888889,0.286111111111111,0.138888888888889,13.2908004589706,0.291399359116663,1.34107472795712,286.575,103167
24102402,57,60,0.533888888888889,0.589630888299119,0.283333333333333,0.308333333333333,0.202777777777778,0.205555555555556,12.0451234167666,0.591743769473676,2.53949547581969,432.425,155673
25309911,45,67,0.462777777777778,0.404062833131456,0.222222222222222,0.197222222222222,0.252777777777778,0.327777777777778,16.13585473938,0.63773441468326,1.66756679844879,455.530555555556,163991
