gems,bomb,igbias,pBurn,chose80,chose60,chose40,chose20,it,lr_pos,lr_neg,sticky,rt_mean,rt_tot
105,102,2,0.518888888888889,0.227777777777778,0.244444444444444,0.233333333333333,0.294444444444444,10.3682015443796,0.821112227178176,0.991682274305966,-3.0488484552509,287.394444444444,103462
123,70,2,0.355555555555556,0.641666666666667,0.0833333333333333,0.130555555555556,0.144444444444444,5.80670481225882,0.0129173674504946,0.0139586079932606,0.62741008255074,161.855555555556,58268
131,85,2.5,0.438888888888889,0.341666666666667,0.308333333333333,0.163888888888889,0.186111111111111,5.4604627026741,0.28004913807808,0.793874123346045,2.43942173802293,0,0
105,114,1.66666666666667,0.524444444444444,0.258333333333333,0.222222222222222,0.158333333333333,0.361111111111111,2.09832092644257,0.692811987252203,0.489185196883273,2.82528284892516,121.888888888889,43880
87,131,2,0.627777777777778,0.133333333333333,0.102777777777778,0.255555555555556,0.508333333333333,3.8139423179346,0.421752684085283,0.663195402929685,1.32713762525332,1056.22222222222,380240
114,93,2.83333333333334,0.471111111111111,0.258333333333333,0.358333333333333,0.152777777777778,0.230555555555556,8.21073239683726,0.284781959684077,0.650529543085943,1.46874392056471,487.652777777778,175555
106,108,6,0.491666666666667,0.138888888888889,0.455555555555556,0.213888888888889,0.191666666666667,6.55449822857088,0.363018139729123,0.9935766747854,1.75386605618723,536.308333333333,193071
105,113,3,0.518888888888889,0.183333333333333,0.247222222222222,0.361111111111111,0.208333333333333,4.68125971055776,0.432177510335222,0.643659804707355,2.12428530812762,124.788888888889,44924
90,143,4,0.594444444444444,0.0916666666666667,0.288888888888889,0.175,0.444444444444444,7.79310198252934,0.896552493607705,0.838583589469704,1.68524289645343,347.85,125226
96,121,5.66666666666667,0.537777777777778,0.155555555555556,0.25,0.344444444444444,0.25,4.61264154312787,0.337001650039228,0.595660328073284,0.136143009160111,197.022222222222,70928
123,61,6,0.331666666666667,0.577777777777778,0.280555555555556,0.0472222222222222,0.0944444444444444,2.56279393765391,0.0175248422546206,0.000779138146824118,1.30247864660952,659.166666666667,237300
119,106,4.66666666666667,0.463333333333333,0.277777777777778,0.344444444444444,0.161111111111111,0.216666666666667,9.41487770835619,0.380506966616333,0.788491818328691,2.02307698909239,509.466666666667,183408
114,118,1.16666666666667,0.536111111111111,0.180555555555556,0.202777777777778,0.372222222222222,0.244444444444444,15.8228656913404,0.63969028869171,0.753069443809098,0.428994860982424,521.094444444444,187594
115,103,3,0.486111111111111,0.205555555555556,0.352777777777778,0.247222222222222,0.194444444444444,5.27250274936381,0.491717139964997,0.539077497065798,0.259895615208369,148.713888888889,53537
126,73,3.33333333333333,0.449444444444444,0.413888888888889,0.186111111111111,0.138888888888889,0.261111111111111,10.3078344929418,0.287478583328715,0.592528627366375,2.01088987876456,459.7,165492
105,109,0.5,0.503888888888889,0.2,0.336111111111111,0.208333333333333,0.255555555555556,7.42286229366059,0.435309532071449,0.992990496572842,0.513331790607933,812.786111111111,292603
87,121,3,0.583888888888889,0.136111111111111,0.175,0.322222222222222,0.366666666666667,6.80947425120291,0.160500873400473,0.478056865044831,2.99324988409521,955.361111111111,343930
101,113,6,0.523333333333333,0.247222222222222,0.0972222222222222,0.447222222222222,0.208333333333333,7.15033232307722,0.683668393090729,0.811595375451808,1.97080622022379,390.65,140634
103,114,0.833333333333335,0.506111111111111,0.163888888888889,0.380555555555556,0.216666666666667,0.238888888888889,8.2935702808174,0.809052098545451,0.976366350468988,0.199587706746734,539.230555555556,194123
133,86,0.833333333333335,0.465,0.277777777777778,0.327777777777778,0.186111111111111,0.208333333333333,5.89701349340197,0.568215808595231,0.727697111193289,0.939369024496303,730.011111111111,262804
129,95,6,0.431666666666667,0.291666666666667,0.430555555555556,0.105555555555556,0.172222222222222,4.30817402146435,0.0331506360520183,0.273907666276582,4.01879747384702,274.616666666667,98862
126,111,3.33333333333334,0.466666666666667,0.330555555555556,0.263888888888889,0.147222222222222,0.258333333333333,9.98023110551367,0.256604076543473,0.804505855774771,0.47305975711075,335.427777777778,120754
108,111,4.33333333333333,0.523333333333333,0.213888888888889,0.277777777777778,0.186111111111111,0.322222222222222,12.6208002068415,0.41783071446177,0.767587606038964,0.935588177801981,374.425,134793
141,100,4.83333333333333,0.443888888888889,0.363888888888889,0.266666666666667,0.155555555555556,0.213888888888889,10.5813970094978,0.472057538840861,0.837474878311098,1.38552249219084,468.927777777778,168814
122,108,1,0.491111111111111,0.294444444444444,0.177777777777778,0.305555555555556,0.222222222222222,9.07665018754152,0.457265330237437,0.859454454747881,-0.243716716474233,371.022222222222,133568
128,101,0.833333333333335,0.49,0.222222222222222,0.272222222222222,0.338888888888889,0.166666666666667,11.0954242611498,0.320734188973574,0.759060362100096,1.58270055215621,327.938888888889,118058
139,62,5.5,0.277222222222222,0.647222222222222,0.330555555555556,0.0111111111111111,0.0111111111111111,5.92787162738285,0.0470752216382315,0.000996460486790048,-0.454656313967545,505.494444444444,181978
125,47,5.33333333333333,0.253888888888889,0.880555555555556,0,0.0888888888888889,0.0305555555555556,3.31691764094763,0.0345283049053861,0.000475402869945626,1.25935931785528,2128.66388888889,766319
110,103,3.16666666666667,0.402222222222222,0.458333333333333,0.219444444444444,0.175,0.147222222222222,5.4929140646429,0.0127952601512575,0.0348683230421258,1.36742181636976,184.677777777778,66484
111,106,5.66666666666667,0.523888888888889,0.166666666666667,0.327777777777778,0.225,0.280555555555556,6.6600468197888,0.171267898574321,0.770901981857603,1.87991914382092,319.75,115110
108,112,2.5,0.535555555555556,0.188888888888889,0.230555555555556,0.294444444444444,0.286111111111111,7.24581240437814,0.967519047768302,0.770789641861789,1.13303576985969,110.436111111111,39757
111,98,2,0.511111111111111,0.275,0.188888888888889,0.241666666666667,0.294444444444444,10.8619317464699,0.689574696650236,0.765037698746345,1.73087753716813,350.522222222222,126188
92,117,3.33333333333333,0.525,0.186111111111111,0.322222222222222,0.172222222222222,0.319444444444444,10.0927012233358,0.499690794038159,0.715714892890752,0.934449700740507,777.719444444444,279979
104,109,0,0.513888888888889,0.25,0.266666666666667,0.147222222222222,0.336111111111111,6.97222826419522,0.97621090660484,0.899862075227094,-0.574713247699326,534.430555555556,192395
84,86,6,0.495555555555556,0.241666666666667,0.269444444444444,0.258333333333333,0.230555555555556,1.21189074516439,0.558800065419226,0.00232102086248949,0.223678976347058,692.633333333333,249348
107,88,4.16666666666666,0.45,0.361111111111111,0.211111111111111,0.244444444444444,0.183333333333333,5.75352024369821,0.00697881909216665,0.0010188820420312,1.02874509019228,428.255555555556,154172
112,99,6,0.517777777777778,0.233333333333333,0.219444444444444,0.272222222222222,0.275,6.04479512185377,0.61781783474839,0.744022965380983,0.421099266082449,421.416666666667,151710
89,119,5,0.573888888888889,0.0972222222222222,0.244444444444444,0.35,0.308333333333333,8.93094263168091,0.381496265118497,0.704641982334858,2.60685240225018,891.186111111111,320827
119,82,1.83333333333334,0.428333333333333,0.341666666666667,0.297222222222222,0.238888888888889,0.122222222222222,8.29417996865943,0.335742370496676,0.781430231311896,1.36615375593629,490.022222222222,176408
87,138,4,0.559444444444444,0.205555555555556,0.15,0.286111111111111,0.358333333333333,11.0865826147428,0.960182802361493,0.983288889684374,-4.70535267462657,603.9,217404
137,111,2.16666666666667,0.470555555555556,0.302777777777778,0.272222222222222,0.194444444444444,0.230555555555556,3.28936677797414,0.984156917127563,0.98112499701352,1.20844538971682,624.3,224748
99,152,4,0.586666666666667,0.0777777777777778,0.258333333333333,0.316666666666667,0.347222222222222,8.1611980461492,0.355502513921738,0.773204322122359,1.47690011096368,402.747222222222,144989
99,138,4.66666666666667,0.581111111111111,0.0777777777777778,0.319444444444444,0.222222222222222,0.380555555555556,10.308507856553,0.561909908168788,0.913567939779001,-0.816208618610121,510.144444444444,183652
70,118,-0.166666666666667,0.583888888888889,0.222222222222222,0.169444444444444,0.075,0.533333333333333,3.37425188912344,0.0155898303410501,0.00431171500459502,0.825481858406984,448.797222222222,161567
129,122,6,0.481111111111111,0.361111111111111,0.172222222222222,0.166666666666667,0.3,8.99511552744239,0.528221375828889,0.81053795710475,1.85800210135167,472.1,169956
114,95,4,0.494444444444444,0.272222222222222,0.247222222222222,0.216666666666667,0.263888888888889,8.2491356819817,0.79550844767253,0.985737572609585,-2.49912858758379,749.497222222222,269819
123,102,1.66666666666667,0.438888888888889,0.369444444444444,0.2,0.297222222222222,0.133333333333333,6.3674032993613,0.16644002332478,0.482434290540298,1.67942961452626,206.872222222222,74474
104,100,2,0.508888888888889,0.208333333333333,0.263888888888889,0.302777777777778,0.225,7.07873960769093,0.835811208779114,0.983012374375395,1.20610483355051,569.152777777778,204895
98,133,6,0.532222222222222,0.263888888888889,0.2,0.147222222222222,0.388888888888889,9.98229314046174,0.278689408739373,0.70286892032543,1.11465149609055,304.486111111111,109615
94,133,5,0.538888888888889,0.175,0.225,0.330555555555556,0.269444444444444,3.72269819685581,0.951008406557146,0.777434554615316,1.77224916659468,363.041666666667,130695
101,102,6,0.480555555555556,0.205555555555556,0.294444444444444,0.391666666666667,0.108333333333333,2.42835368834731,0.920222348151783,0.838754183335432,2.51733266022571,661.688888888889,238208
126,128,0,0.533888888888889,0.186111111111111,0.233333333333333,0.305555555555556,0.275,6.49150421417851,0.184453238925688,0.463223172762986,1.73831867858345,486.211111111111,175036
96,76,6,0.486666666666667,0.261111111111111,0.233333333333333,0.316666666666667,0.188888888888889,4.85810423666637,0.0128872389969203,0.0394237850668543,-0.171840737348622,755.383333333333,271938
117,110,5,0.525,0.133333333333333,0.322222222222222,0.330555555555556,0.213888888888889,5.52160497255428,0.767783158340919,0.939291170503989,-0.759146042345509,687.969444444444,247669
42,123,1.33333333333333,0.737222222222222,0.0305555555555556,0.0972222222222222,0.0277777777777778,0.844444444444444,9.94629947072425,0.040265321826257,0.00496269158298108,0.939158754263247,816.25,293850
117,86,3,0.459444444444444,0.325,0.266666666666667,0.194444444444444,0.213888888888889,4.31625190405841,0.0551236769428292,0.210448956226768,2.87069906170586,575.333333333333,207120
85,102,2.83333333333333,0.498333333333333,0.305555555555556,0.186111111111111,0.219444444444444,0.288888888888889,3.64766011693505,0.00950153778922524,0.0115195140438206,-0.0439433074262531,372.061111111111,133942
90,119,2.16666666666667,0.502777777777778,0.233333333333333,0.252777777777778,0.280555555555556,0.233333333333333,1.48186493126433,0.532005769085131,0.871635436869906,0.241938242838493,282.475,101691
103,124,4.33333333333333,0.538888888888889,0.158333333333333,0.341666666666667,0.147222222222222,0.352777777777778,7.17233232002785,0.341864824463794,0.957580714278399,-0.10579978596464,338.922222222222,122012
120,92,3.5,0.451666666666667,0.294444444444444,0.275,0.308333333333333,0.122222222222222,4.86009046117622,0.817707428687959,0.818547075176172,1.4256191763741,230.983333333333,83154
117,104,5.16666666666667,0.467222222222222,0.369444444444444,0.177777777777778,0.2,0.252777777777778,3.63376716726458,0.881651145351792,0.581047045547433,2.34304942321814,349.952777777778,125983
124,104,2,0.481111111111111,0.255555555555556,0.186111111111111,0.455555555555556,0.102777777777778,8.67675381691599,0.928064271147941,0.675682315413533,2.27361161146209,2673.61944444444,962503
82,109,1.66666666666667,0.493888888888889,0.236111111111111,0.280555555555556,0.261111111111111,0.222222222222222,2.12804532175011,0.516715111194233,0.777538786514431,0.740344396430931,270.152777777778,97255
136,47,1,0.316666666666667,0.666666666666667,0.169444444444444,0.0777777777777778,0.0861111111111111,4.72932227460001,0.020054130140604,0.0374778307510979,2.51631324012369,1006.33055555556,362279
91,147,2,0.594444444444444,0.105555555555556,0.230555555555556,0.25,0.413888888888889,6.40828288885809,0.112230079567382,0.713949599235437,2.03022724952035,284.883333333333,102558
