subID,gems,bomb,igbias,pGems,wGems,chose80,chose60,chose40,chose20,it,lr,sticky,rt_mean,rt_tot
00271149,92,139,5,0.433888888888889,0.438408601723494,0.119444444444444,0.233333333333333,0.344444444444444,0.302777777777778,13.8115250125788,0.832553186566407,0.893487842775995,606.041666666667,606.041666666667
00767363,104,107,5,0.51,0.580838695269102,0.244444444444444,0.305555555555556,0.205555555555556,0.244444444444444,6.12888320924314,0.787404642771882,-0.434819931639017,498.327777777778,498.327777777778
00768400,90,134,0,0.427222222222222,0.680865061768148,0.183333333333333,0.144444444444444,0.297222222222222,0.375,5.81861638001379,0.819354973240438,2.53785749868465,1003.96111111111,1003.96111111111
01468037,147,61,0,0.693888888888889,0.613639692384112,0.594444444444444,0.319444444444444,0.0472222222222222,0.0388888888888889,12.0971836569347,0.616839368142095,0.765842552638462,676.722222222222,676.722222222222
02123659,97,116,6,0.491666666666667,0.46361390751368,0.261111111111111,0.255555555555556,0.163888888888889,0.319444444444444,10.94310058079,0.629979859170472,2.14266794101867,421.283333333333,421.283333333333
02966008,110,98,4.66666666666667,0.505,0.450967989232192,0.305555555555556,0.194444444444444,0.219444444444444,0.280555555555556,9.39328907240651,0.877664950002352,2.38192241558454,520.577777777778,520.577777777778
03465827,118,135,5.66666666666667,0.483888888888889,0.50682651787542,0.255555555555556,0.211111111111111,0.230555555555556,0.302777777777778,15.4053555008065,0.720734010172864,1.05775751360319,313.044444444444,313.044444444444
04562014,88,106,4.83333333333333,0.473333333333333,0.43259390504878,0.119444444444444,0.280555555555556,0.447222222222222,0.152777777777778,8.91135727464333,0.351525268633359,1.858888287535,315.166666666667,315.166666666667
05329053,133,110,3.83333333333333,0.537222222222222,0.996840182800774,0.280555555555556,0.186111111111111,0.472222222222222,0.0611111111111111,4.82614676348959,0.931845721377927,3.33992032045494,916.386111111111,916.386111111111
05777084,104,131,3.33333333333333,0.418888888888889,0.566820037323859,0.0638888888888889,0.313888888888889,0.275,0.347222222222222,13.2508188112759,0.880737322724876,0.747308466871925,606.811111111111,606.811111111111
06009359,140,48,2.83333333333333,0.706666666666667,0.623341723298439,0.716666666666667,0.169444444444444,0.0444444444444444,0.0694444444444444,20.6205878743979,0.780111582281413,-0.0295248935557361,369.166666666667,369.166666666667
06750736,110,100,-3.16666666666667,0.515555555555556,0.488347031746541,0.244444444444444,0.305555555555556,0.233333333333333,0.216666666666667,5.78613168842312,0.797058851267736,1.14860481197718,476.866666666667,476.866666666667
06855230,122,100,4.16666666666667,0.528888888888889,0.491906981370611,0.361111111111111,0.186111111111111,0.188888888888889,0.263888888888889,15.6935678409318,0.984256393194837,-1.06886374563106,153.505555555556,153.505555555556
07251267,108,95,2.5,0.520555555555556,0.560438451634,0.294444444444444,0.219444444444444,0.280555555555556,0.205555555555556,15.8579783645496,0.763680533043561,0.777072874990608,984,984
07827655,99,107,1,0.477222222222222,0.574580024406526,0.2,0.261111111111111,0.263888888888889,0.275,8.05690135950662,0.512626620375408,1.14710973614172,537.983333333333,537.983333333333
07927536,118,84,5.16666666666667,0.561666666666667,0.995086089496082,0.405555555555556,0.191666666666667,0.208333333333333,0.194444444444444,1.67670794565786,0.575317905164984,0.486531218990734,227.9,227.9
08394486,135,76,2.66666666666667,0.615555555555556,0.796525255543867,0.519444444444444,0.158333333333333,0.202777777777778,0.119444444444444,11.974605583397,0.597531427308458,1.60126789973656,331.119444444444,331.119444444444
